JD (midpoint),BJD_TDB,053454.0-040637,053432.5-042915,053459.0-042115
2461025.467,2461025.473,6.367,7.201,7.292
2461025.467,2461025.473,7.075,7.665,7.841
2461025.468,2461025.474,6.631,7.353,7.5
2461025.469,2461025.475,6.632,7.345,7.471
2461025.47,2461025.476,6.662,7.368,7.51
2461025.47,2461025.476,6.641,7.359,7.476
2461025.471,2461025.477,6.654,7.368,7.494
2461025.472,2461025.478,6.682,7.385,7.506
2461025.472,2461025.478,6.663,7.362,7.51
2461025.473,2461025.479,6.65,7.353,7.509
2461025.474,2461025.48,6.663,7.385,7.517
2461025.475,2461025.481,6.674,7.368,7.505
2461025.475,2461025.481,6.666,7.372,7.498
2461025.476,2461025.482,6.705,7.411,7.53
2461025.478,2461025.484,6.666,7.364,7.511
2461025.482,2461025.488,6.676,7.391,7.533
2461025.482,2461025.488,6.659,7.379,7.517
2461025.483,2461025.489,6.663,7.383,7.522
2461025.484,2461025.49,6.662,7.363,7.491
2461025.484,2461025.49,6.627,7.352,7.502
2461025.485,2461025.491,6.657,7.346,7.495
2461025.486,2461025.492,6.657,7.351,7.49
2461025.486,2461025.492,6.633,7.357,7.505
2461025.487,2461025.493,6.678,7.377,7.511
2461025.488,2461025.494,6.652,7.367,7.496
2461025.489,2461025.495,6.673,7.373,7.505
2461025.489,2461025.495,6.647,7.364,7.508
2461025.49,2461025.496,6.654,7.365,7.503
2461025.491,2461025.497,6.677,7.369,7.502
2461025.491,2461025.497,6.646,7.354,7.499
2461025.492,2461025.498,6.639,7.34,7.492
2461025.493,2461025.499,6.659,7.381,7.5
2461025.494,2461025.5,6.657,7.362,7.516
2461025.494,2461025.5,6.641,7.372,7.519
2461025.495,2461025.501,6.647,7.365,7.483
2461025.496,2461025.502,6.659,7.384,7.516
2461025.496,2461025.502,6.671,7.383,7.509
2461025.497,2461025.503,6.659,7.359,7.519
2461025.498,2461025.504,6.662,7.369,7.489
2461025.498,2461025.504,6.628,7.364,7.466
2461025.499,2461025.505,6.659,7.385,7.499
2461025.5,2461025.506,6.675,7.374,7.514
2461025.501,2461025.507,6.649,7.348,7.502
2461025.501,2461025.507,6.667,7.363,7.499
2461025.502,2461025.508,6.64,7.368,7.489
2461025.503,2461025.509,6.679,7.409,7.506
2461025.503,2461025.509,6.633,7.341,7.497
2461025.504,2461025.51,6.648,7.38,7.486
2461025.505,2461025.511,6.69,7.407,7.508
2461025.505,2461025.511,6.649,7.351,7.493
2461025.517,2461025.523,6.684,7.345,7.449
2461025.518,2461025.524,6.643,7.332,7.472
2461025.519,2461025.525,6.661,7.348,7.509
2461025.52,2461025.526,6.645,7.367,7.511
2461025.521,2461025.527,6.676,7.35,7.525
2461025.521,2461025.527,6.663,7.343,7.492
2461025.522,2461025.528,6.661,7.362,7.461
2461025.523,2461025.529,6.687,7.364,7.444
2461025.524,2461025.53,6.645,7.369,7.478
2461025.524,2461025.53,6.624,7.339,7.476
