JD (midpoint),BJD_TDB,053454.0-040637,SNR 1,053432.5-042915,SNR 2,053459.0-042115,SNR 3
2461025.467,2461025.473,6.367,259,7.201,169,7.292,164
2461025.467,2461025.473,7.075,170,7.665,128,7.841,115
2461025.468,2461025.474,6.631,282,7.353,198,7.5,185
2461025.469,2461025.475,6.632,275,7.345,193,7.471,183
2461025.47,2461025.476,6.662,273,7.368,193,7.51,181
2461025.47,2461025.476,6.641,283,7.359,201,7.476,189
2461025.471,2461025.477,6.654,279,7.368,196,7.494,185
2461025.472,2461025.478,6.682,270,7.385,191,7.506,177
2461025.472,2461025.478,6.663,277,7.362,196,7.51,183
2461025.473,2461025.479,6.65,279,7.353,198,7.509,183
2461025.474,2461025.48,6.663,277,7.385,194,7.517,181
2461025.475,2461025.481,6.674,273,7.368,194,7.505,181
2461025.475,2461025.481,6.666,274,7.372,194,7.498,181
2461025.476,2461025.482,6.705,260,7.411,185,7.53,173
2461025.478,2461025.484,6.666,273,7.364,193,7.511,178
2461025.482,2461025.488,6.676,272,7.391,193,7.533,178
2461025.482,2461025.488,6.659,274,7.379,191,7.517,178
2461025.483,2461025.489,6.663,273,7.383,193,7.522,179
2461025.484,2461025.49,6.662,272,7.363,192,7.491,181
2461025.484,2461025.49,6.627,278,7.352,196,7.502,180
2461025.485,2461025.491,6.657,278,7.346,198,7.495,181
2461025.486,2461025.492,6.657,277,7.351,196,7.49,182
2461025.486,2461025.492,6.633,281,7.357,196,7.505,182
2461025.487,2461025.493,6.678,278,7.377,197,7.511,185
2461025.488,2461025.494,6.652,282,7.367,198,7.496,186
2461025.489,2461025.495,6.673,279,7.373,200,7.505,187
2461025.489,2461025.495,6.647,280,7.364,197,7.508,185
2461025.49,2461025.496,6.654,279,7.365,197,7.503,186
2461025.491,2461025.497,6.677,281,7.369,199,7.502,188
2461025.491,2461025.497,6.646,285,7.354,202,7.499,187
2461025.492,2461025.498,6.639,280,7.34,198,7.492,184
2461025.493,2461025.499,6.659,284,7.381,198,7.5,188
2461025.494,2461025.5,6.657,284,7.362,202,7.516,185
2461025.494,2461025.5,6.641,287,7.372,201,7.519,184
2461025.495,2461025.501,6.647,283,7.365,199,7.483,187
2461025.496,2461025.502,6.659,286,7.384,198,7.516,185
2461025.496,2461025.502,6.671,279,7.383,199,7.509,185
2461025.497,2461025.503,6.659,280,7.359,199,7.519,184
2461025.498,2461025.504,6.662,284,7.369,202,7.489,187
2461025.498,2461025.504,6.628,276,7.364,193,7.466,183
2461025.499,2461025.505,6.659,280,7.385,196,7.499,186
2461025.5,2461025.506,6.675,283,7.374,201,7.514,187
2461025.501,2461025.507,6.649,286,7.348,205,7.502,189
2461025.501,2461025.507,6.667,278,7.363,197,7.499,184
2461025.502,2461025.508,6.64,281,7.368,196,7.489,185
2461025.503,2461025.509,6.679,273,7.409,191,7.506,181
2461025.503,2461025.509,6.633,280,7.341,199,7.497,183
2461025.504,2461025.51,6.648,275,7.38,193,7.486,181
2461025.505,2461025.511,6.69,277,7.407,194,7.508,185
2461025.505,2461025.511,6.649,280,7.351,197,7.493,185
2461025.517,2461025.523,6.684,272,7.345,198,7.449,188
2461025.518,2461025.524,6.643,269,7.332,193,7.472,180
2461025.519,2461025.525,6.661,263,7.348,189,7.509,175
2461025.52,2461025.526,6.645,265,7.367,187,7.511,174
2461025.521,2461025.527,6.676,262,7.35,190,7.525,174
2461025.521,2461025.527,6.663,267,7.343,193,7.492,179
2461025.522,2461025.528,6.661,262,7.362,188,7.461,180
2461025.523,2461025.529,6.687,256,7.364,185,7.444,178
2461025.524,2461025.53,6.645,256,7.369,180,7.478,170
2461025.524,2461025.53,6.624,247,7.339,175,7.476,163
